xx,yy
-0.027506112,19.12897311
-1.274449878,18.74388753
-2.246332518,18.2304401
-3.254889976,17.53361858
-4.025061125,16.25
-4.556845966,14.14119804
-4.886919315,11.66564792
-4.575183374,10.30867971
-3.566625917,8.731662592
-2.704767726,8.053178484
-1.091075795,7.301344743
0.155867971,7.191320293
1.054400978,7.22799511
1.292787286,7.869804401
1.421149144,8.163202934
0.210880196,8.401589242
-0.614303178,8.548288509
-1.311124694,8.621638142
-2.062958435,8.988386308
-2.503056235,9.318459658
-2.906479218,9.850244499
-3.089853301,10.58374083
-3.474938875,11.42726161
-3.584963325,11.92237164
-3.694987775,12.69254279
-2.924816626,12.82090465
-1.751222494,12.74755501
0.100855746,12.7108802
0.871026895,12.82090465
1.421149144,13.04095355
1.604523227,13.64608802
0.834352078,13.81112469
-0.37591687,13.95782396
-1.586185819,14.01283619
-2.521393643,14.08618582
-3.474938875,14.10452323
-3.273227384,14.69132029
-2.869804401,15.25977995
-2.613080685,16.10330073
-2.411369193,16.80012225
-1.806234719,17.11185819
-1.182762836,17.55195599
-0.797677262,17.93704156
-0.540953545,18.06540342
-0.009168704,18.24877751
0.70599022,18.24877751
1.274449878,18.37713936
1.201100244,18.59718826
0.944376528,18.92726161
0.577628362,19.1106357
-0.027506112,19.12897311
